Date ,series ,OPEN ,close ,HIGH ,LOW ,PREV. CLOSE ,CLOSE_TO_CLOSE,OC_SWING,HL_SWING,OH_SWING,ltp ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24-Nov-23,EQ,114.15,113.25,116,112.9,112.95,0.3,-0.9,3.1,2.15,113.4,114.16,126.35,44.35,"4,99,80,086","5,70,54,85,942.05","1,54,932"
23-Nov-23,EQ,113.6,112.95,115.75,112.5,115.3,-2.35,-0.65,3.25,1.8,112.8,113.73,126.35,44.35,"5,63,29,090","6,40,61,05,817.60","1,57,065"
22-Nov-23,EQ,116,115.3,117.8,114.35,116.5,-1.2,-0.7,3.45,0.45,115.45,115.71,126.35,44.35,"5,27,99,865","6,10,93,99,290.05","1,31,769"
21-Nov-23,EQ,118.55,116.5,119,116.05,118.15,-1.65,-2.05,2.95,0.55,116.4,117.26,126.35,44.35,"4,51,93,553","5,29,91,82,461.50","1,46,971"
20-Nov-23,EQ,122.85,118.15,123.4,117.35,122.2,-4.05,-4.7,6.05,3,118.45,119.46,126.35,44.35,"5,27,84,478","6,30,54,67,380.80","1,66,896"
17-Nov-23,EQ,122,122.2,125,121.5,121.85,0.35,0.2,3.5,1.65,122.7,123.22,126.35,44.35,"4,38,82,213","5,40,71,11,366.95","1,36,049"
16-Nov-23,EQ,120.9,121.85,122.55,120.7,120.25,1.6,0.95,1.85,1.9,122,121.86,126.35,44.35,"3,68,95,083","4,49,58,91,657.05","1,09,544"
15-Nov-23,EQ,123.3,120.25,125.2,119.75,122.2,-1.95,-3.05,5.45,0.45,120.9,122.48,126.35,44.35,"6,00,88,818","7,35,94,89,021.95","2,16,876"
13-Nov-23,EQ,122.65,122.2,123.1,121.5,123.25,-1.05,-0.45,1.6,0.7,122.25,122.21,126.35,44.35,"2,83,48,143","3,46,43,99,570.10","1,53,866"
12-Nov-23,EQ,123.25,123.25,123.95,122,121.3,1.95,0,1.95,1.3,123.25,123.22,126.35,44.35,"1,05,34,365","1,29,79,94,614.40","68,159"
10-Nov-23,EQ,122,121.3,123.3,120.7,121.85,-0.55,-0.7,2.6,0.3,121.45,121.61,126.35,44.35,"4,33,88,163","5,27,63,36,879.95","1,23,196"
09-Nov-23,EQ,125.25,121.85,125.55,121.35,125.15,-3.3,-3.4,4.2,3.7,122,123.31,126.35,44.35,"5,03,07,832","6,20,36,68,345.25","1,95,778"
08-Nov-23,EQ,122,125.15,125.7,121.3,121.3,3.85,3.15,4.4,2.8,125.15,124.04,126.35,44.35,"7,50,41,688","9,30,79,88,630.35","2,03,979"
07-Nov-23,EQ,123.55,121.3,126.35,120.5,123.3,-2,-2.25,5.85,4.3,122,123.16,126.35,44.35,"12,08,86,007","14,88,81,39,202.70","2,89,292"
06-Nov-23,EQ,119.6,123.3,123.9,118.25,116.5,6.8,3.7,5.65,11.1,123.45,120.87,123.9,44.35,"18,62,88,904","22,51,59,63,136.35","5,05,091"
03-Nov-23,EQ,108.8,116.5,119.9,108.7,107.55,8.95,7.7,11.2,3,117.9,114.09,119.9,44.35,"23,88,33,377","27,24,89,41,076.35","3,99,350"
02-Nov-23,EQ,105,107.55,108,104.9,103.7,3.85,2.55,3.1,1.55,107.95,106.53,115.1,44.35,"4,70,86,204","5,01,61,87,002.65","1,12,689"
01-Nov-23,EQ,105.6,103.7,107.15,103.25,105.1,-1.4,-1.9,3.9,0.3,104,105.18,115.1,44.35,"4,79,11,258","5,03,95,41,539.75","1,08,637"
31-Oct-23,EQ,107.85,105.1,108.15,104.25,107.7,-2.6,-2.75,3.9,2.4,104.75,106,115.1,44.35,"4,93,82,539","5,23,47,09,226.80","1,09,571"
30-Oct-23,EQ,106.2,107.7,108.6,105.7,105.65,2.05,1.5,2.9,1.9,107.5,107.19,115.1,44.35,"4,82,82,252","5,17,52,67,814.70","1,10,651"
27-Oct-23,EQ,107.35,105.65,109.25,105.05,106.45,-0.8,-1.7,4.2,0.5,105.45,106.95,115.1,44.35,"4,37,38,547","4,67,78,53,360.55","1,41,164"
26-Oct-23,EQ,107.5,106.45,108,101.25,108.25,-1.8,-1.05,6.75,3.85,106.35,104.19,115.1,44.35,"10,86,05,538","11,31,52,86,908.10","2,76,322"
25-Oct-23,EQ,105.65,108.25,109.5,105.55,108.9,-0.65,2.6,3.95,0.1,108.45,107.55,115.1,44.35,"5,96,85,089","6,41,92,42,795.60","1,64,172"
23-Oct-23,EQ,113.8,108.9,113.9,106.8,113.35,-4.45,-4.9,7.1,0.5,109.25,110.79,115.1,44.35,"7,09,44,550","7,85,98,38,173.70","1,36,203"
20-Oct-23,EQ,114,113.35,114.5,112.15,111.65,1.7,-0.65,2.35,1.15,113.7,112.96,115.1,44.35,"6,44,27,436","7,27,79,89,527.10","1,83,110"
19-Oct-23,EQ,112,111.65,113.15,110.65,113.2,-1.55,-0.35,2.5,0.6,111.4,112.25,115.1,44.35,"4,35,17,012","4,88,49,41,891.10","1,36,297"
18-Oct-23,EQ,114.5,113.2,115.1,109.5,113.85,-0.65,-1.3,5.6,1.7,112.4,112.13,115.1,44.35,"10,05,53,806","11,27,51,49,423.15","2,08,357"
17-Oct-23,EQ,112.5,113.85,114.2,111.5,111.5,2.35,1.35,2.7,0.85,113.6,112.96,114.2,44.35,"5,53,51,894","6,25,24,84,358.55","1,26,051"
16-Oct-23,EQ,111.9,111.5,112.75,110.85,111,0.5,-0.4,1.9,1.95,111.5,111.74,113.25,44.35,"4,74,55,521","5,30,27,76,089.15","1,30,337"
13-Oct-23,EQ,109.85,111,111.8,109.1,109.85,1.15,1.15,2.7,3.05,111.2,110.95,113.25,44.35,"5,57,86,063","6,18,95,79,189.05","1,75,996"
12-Oct-23,EQ,110.2,109.85,113.25,109.5,109,0.85,-0.35,3.75,3,109.95,111.52,113.25,44.35,"11,77,10,894","13,12,74,89,977.15","3,04,193"
11-Oct-23,EQ,106.8,109,109.8,106.55,106.05,2.95,2.2,3.25,3.05,109.7,108.4,109.8,44.35,"9,38,38,782","10,17,19,34,058.95","2,27,474"
10-Oct-23,EQ,104.9,106.05,107.95,104.65,103.9,2.15,1.15,3.3,1.45,105.9,106.34,107.95,44.35,"6,77,12,329","7,20,06,28,462.80","1,69,601"
09-Oct-23,EQ,103.8,103.9,105.25,101,104.45,-0.55,0.1,4.25,0.8,103.7,103.51,107.7,44.35,"5,38,11,658","5,57,01,74,181.25","1,52,774"
06-Oct-23,EQ,106.4,104.45,107.2,104,105.4,-0.95,-1.95,3.2,5.1,104.65,105.56,107.7,44.35,"6,50,41,435","6,86,57,28,950.90","1,50,559"
05-Oct-23,EQ,102.6,105.4,107.7,102.35,100.75,4.65,2.8,5.35,0,105.85,105.02,107.7,44.35,"14,00,96,809","14,71,25,61,171.40","2,94,089"
04-Oct-23,EQ,104.4,100.75,104.4,100.35,105.3,-4.55,-3.65,4.05,4.9,101.25,101.89,105.9,44.35,"6,87,27,969","7,00,25,05,243.10","1,96,898"
03-Oct-23,EQ,101,105.3,105.9,100,101.5,3.8,4.3,5.9,2.7,105.7,103.84,105.9,44.35,"8,29,83,688","8,61,71,82,237.70","1,68,882"
29-Sep-23,EQ,100.05,101.5,102.75,99.6,99.95,1.55,1.45,3.15,0.25,101.5,101.48,105,44.35,"4,95,24,816","5,02,59,71,430.45","1,12,785"
28-Sep-23,EQ,100.35,99.95,100.6,99.3,100.1,-0.15,-0.4,1.3,1.3,100,99.85,105,44.35,"2,58,85,383","2,58,46,31,782.15","72,762"
27-Sep-23,EQ,99.9,100.1,101.2,98.5,99.9,0.2,0.2,2.7,1.8,99.85,99.75,105,44.35,"3,48,94,254","3,48,07,56,004.00","77,986"
26-Sep-23,EQ,98.6,99.9,100.4,97.9,98.45,1.45,1.3,2.5,0.2,100,99.66,105,44.35,"3,68,22,528","3,66,98,44,612.10","81,138"
25-Sep-23,EQ,100.3,98.45,100.5,97.75,99.9,-1.45,-1.85,2.75,1.9,98.6,98.78,105,44.35,"3,44,10,972","3,39,91,66,117.45","83,641"
22-Sep-23,EQ,99.5,99.9,101.4,98.7,99.15,0.75,0.4,2.7,0.95,99.8,99.76,105,44.35,"3,94,92,725","3,93,98,74,443.25","89,218"
21-Sep-23,EQ,100,99.15,100.95,98.25,100,-0.85,-0.85,2.7,3.6,99.8,99.5,105,44.35,"4,05,91,612","4,03,89,89,509.65","1,11,529"
20-Sep-23,EQ,101.3,100,104.9,99.3,102.15,-2.15,-1.3,5.6,1.4,100.15,100.97,105,44.35,"10,41,15,507","10,51,28,27,408.25","1,68,842"
18-Sep-23,EQ,103.6,102.15,105,101.65,102.95,-0.8,-1.45,3.35,3.95,102.05,103.67,105,44.35,"6,94,76,642","7,20,29,19,192.90","1,36,780"
15-Sep-23,EQ,100.5,102.95,104.45,100.35,99.45,3.5,2.45,4.1,1.45,103,102.68,104.45,44.35,"14,88,53,172","15,28,41,16,660.50","2,40,398"
14-Sep-23,EQ,98.65,99.45,100.1,98.2,97.9,1.55,0.8,1.9,2,99.5,99.27,102.85,44.35,"4,52,26,055","4,48,98,08,370.35","92,080"
